id,nome,categoria,tipologia,Link
1,The-Game-of-Life-2,Coop,Board game,https://steamrip.com/The-Game-of-Life-2/
2,Zombieville-USA-3D,Coop,Action,https://steamrip.com/Zombieville-USA-3D/
3,Escape-Simulator,Coop,Puzzle,https://steamrip.com/Escape-Simulator/
4,Fast-Food-Simulator,Coop,Simulation,https://steamrip.com/Fast-Food-Simulator/
5,Powerwash-Simulator,Coop,Simulation,https://steamrip.com/Powerwash-Simulator/
6,Clone-Drone-in-the-Danger-Zone,Coop,Action,https://steamrip.com/Clone-Drone-in-the-Danger-Zone/
7,PIKO-PARK,Coop,Puzzle,https://steamrip.com/PICO-PARK/
8,Inside-the-Backrooms,Coop,Horror,https://steamrip.com/Inside-the-Backrooms/
9,Baldurs-Gate-Three,Coop,RPG,https://steamrip.com/baldurs-gate-3-free-download-3p/
10,Kebab-Chefs-Restaurant-Simulator,Coop,Simulation,https://steamrip.com/Kebab-Chefs-Restaurant-Simulator/
11,Split-Fiction,Coop,Action,https://steamrip.com/Split-Fiction/
12,The-Binding-of-Isaac-Rebirth,Coop,Action,https://steamrip.com/The-Binding-of-Isaac-Rebirth/
13,Farming-Simulator-25,Coop,Simulation,https://steamrip.com/Farming-Simulator-25/
14,Carry-The-Glass,Coop,Puzzle,https://steamrip.com/Carry-The-Glass/
15,Phasmophobia,Coop,Horror,https://steamrip.com/Phasmophobia/
16,Chained-Together,Coop,Action,https://steamrip.com/Chained-Together/
17,Schedule-I,Coop,Simulation,https://steamrip.com/Schedule-I/
18,Shapez-2,Singleplayer,Strategy,https://steamrip.com/Shapez-2/
19,Viewfinder,Singleplayer,Adventure,https://steamrip.com/Viewfinder/
20,5D-Chess-with-MTT,Singleplayer,Strategy,https://steamrip.com/5d-chess-with-multiverse-time-travel-free-download-p1/
21,Kindergarten,Singleplayer,Adventure,https://steamrip.com/Kindergarten/
22,Kindergarten-2,Singleplayer,Adventure,https://steamrip.com/Kindergarten-2/
23,Cursorblade,Singleplayer,Action,https://steamrip.com/Cursorblade/
24,WEBFISHING,Singleplayer,Adventure,https://steamrip.com/WEBFISHING/
25,A-Dance-of-Fire-and-Ice,Singleplayer,Music,https://steamrip.com/A-Dance-of-Fire-and-Ice/
26,The-Mortuary-Assistant,Singleplayer,Horror,https://steamrip.com/The-Mortuary-Assistant/
27,Slime-Rancher,Singleplayer,Simulation,https://steamrip.com/Slime-Rancher/
28,Hades-II,Singleplayer,Action,https://steamrip.com/hades-2-free-download/
29,NieR-Automata,Singleplayer,Action,https://steamrip.com/nierautomata-3d/
30,Clair-Obscur-Expedition-33,Singleplayer,Adventure,https://steamrip.com/Clair-Obscur-Expedition-33/
31,The-Coffin-of-Andy-and-Leyley,Singleplayer,Adventure,https://steamrip.com/The-Coffin-of-Andy-and-Leyley/
32,The-Elder-Scrolls-4-Oblivion-Remastered,Singleplayer,RPG,https://steamrip.com/the-elder-scrolls-iv-oblivion-remastered-free-download/
33,LEGO-Star-Wars-The-Skywalker-Saga,Singleplayer,Action,https://steamrip.com/LEGO-Star-Wars-The-Skywalker-Saga/
34,LEGO-Star-Wars-The-Complete-Saga,Singleplayer,Action,https://steamrip.com/LEGO-Star-Wars-The-Complete-Saga/
35,ONE-PIECE-World-Seeker,Singleplayer,Action,https://steamrip.com/ONE-PIECE-World-Seeker/
36,Melatonin,Singleplayer,Music,https://steamrip.com/Melatonin/
37,Magicraft,Singleplayer,Action,https://steamrip.com/Magicraft/
38,Just-Shapes-Beats,Singleplayer,Music,https://steamrip.com/Just-Shapes-Beats/
39,The-LEGO-Movie-Videogame,Singleplayer,Action,https://steamrip.com/The-LEGO-Movie-Videogame/
40,LEGO-Worlds,Singleplayer,Action,https://steamrip.com/LEGO-Worlds/
41,LEGO-Horizon-Adventures,Singleplayer,Action,https://steamrip.com/LEGO-Horizon-Adventures/
42,LEGO-Harry-Potter-Years-1-4,Singleplayer,Action,https://steamrip.com/LEGO-Harry-Potter-Years-1-4/
43,LEGO-Builders-Journey,Singleplayer,Puzzle,https://steamrip.com/LEGO-Builders-Journey/
44,Super-Smash-Bros-Ultimate,Singleplayer,Action,https://steamrip.com/Super-Smash-Bros-Ultimate/
45,Cooking-Simulator,Singleplayer,Simulation,https://steamrip.com/Cooking-Simulator/
46,Cyberpunk-2077,Singleplayer,Action,https://steamrip.com/cryberpunk-2k77-d7/
47,Bloons-TD-6,Singleplayer,Strategy,https://steamrip.com/Bloons-TD-6/
48,Cuphead,Singleplayer,Action,https://steamrip.com/Cuphead/
